id,relationshipId,cohortId,companyId,mentorId,date,durationMinutes,meetingNumber,rawNotes,submittedBy,submittedAt,aiSummary,actionItems,signal,signalReason,healthScoreDelta,watchPoints,aiProcessed,aiProcessedAt
meeting-neurogrid-1,relationship-neurogrid-puja,cohort-build-with-ai-kl-spring-2026,company-neurogrid-ai,mentor-puja-abbassi,2026-05-29T06:00:00.000Z,50,1,"Discussed enterprise pilot design, customer onboarding complexity, and how to frame AI value around workflow reduction rather than generic automation.",mentor,2026-05-29T06:55:00.000Z,"Strong first session with a clearer pilot story and better product framing.","[{""owner"":""startup"",""task"":""Define one pilot success metric set"",""dueDate"":""2026-06-04"",""completed"":true,""completedAt"":""2026-06-03T00:00:00.000Z""}]",Positive,"Clear owners and strong follow-through.",10,"[]",true,2026-05-29T07:00:00.000Z
meeting-neurogrid-2,relationship-neurogrid-puja,cohort-build-with-ai-kl-spring-2026,company-neurogrid-ai,mentor-puja-abbassi,2026-06-14T06:00:00.000Z,45,2,"Reviewed progress on enterprise pilot planning, pricing questions, and founder communication discipline across the product and commercial teams.",mentor,2026-06-14T06:45:00.000Z,"Momentum continued with visible progress and better internal alignment.","[{""owner"":""startup"",""task"":""Run pricing test with one pilot lead"",""dueDate"":""2026-06-19"",""completed"":false,""completedAt"":null}]",Positive,"Previous commitments were completed and the next step is concrete.",12,"[]",true,2026-06-14T06:50:00.000Z
meeting-harvestloop-1,relationship-harvestloop-paulark,cohort-build-with-ai-kl-spring-2026,company-harvestloop,mentor-paul-ark,2026-06-12T04:00:00.000Z,55,1,"Talked through agritech commercialization, flagship buyer pilots, and how to simplify the story for non-technical agriculture partners.",mentor,2026-06-12T04:55:00.000Z,"Constructive session with good strategic relevance and a clearer commercial narrative.","[{""owner"":""startup"",""task"":""Draft one flagship buyer pilot story"",""dueDate"":""2026-06-18"",""completed"":false,""completedAt"":null}]",Positive,"Mentor guidance matched the company's bottleneck well.",13,"[""Keep messaging simple for buyers.""]",true,2026-06-12T05:05:00.000Z
meeting-clinichive-1,relationship-clinichive-yiannis,cohort-build-with-ai-kl-spring-2026,company-clinichive,mentor-yiannis-alexopoulos,2026-06-10T12:00:00.000Z,55,1,"Focused on clinic partnership funnels, retention metrics, and what data the founders should show to early distribution partners to build trust.",mentor,2026-06-10T12:55:00.000Z,"Useful health-growth session with actionable reporting improvements.","[{""owner"":""startup"",""task"":""Publish clinic retention baseline"",""dueDate"":""2026-06-16"",""completed"":false,""completedAt"":null}]",Positive,"High relevance and actionable output.",16,"[]",true,2026-06-10T13:00:00.000Z
meeting-paymesh-1,relationship-paymesh-mikaal,cohort-build-with-ai-kl-spring-2026,company-paymesh,mentor-mikaal-abdulla,2026-05-30T05:00:00.000Z,50,1,"Reviewed product focus, partnership sequencing, and how to avoid spreading the leadership team too thin across multiple partner conversations.",mentor,2026-05-30T05:50:00.000Z,"Valuable advice landed, but focus issues were still visible in the founder plan.","[{""owner"":""startup"",""task"":""Reduce active partner tracks to top three"",""dueDate"":""2026-06-06"",""completed"":false,""completedAt"":null}]",Neutral,"Good conversation, but priorities remained too broad.",-2,"[""Too many active partnership tracks.""]",true,2026-05-30T06:00:00.000Z
meeting-paymesh-2,relationship-paymesh-mikaal,cohort-build-with-ai-kl-spring-2026,company-paymesh,mentor-mikaal-abdulla,2026-06-13T05:00:00.000Z,40,2,"The mentor challenged the team on slipped partner follow-ups and the lack of a clear weekly decision structure for commercial expansion work.",mentor,2026-06-13T05:40:00.000Z,"Still a highly relevant pairing, but execution discipline needs attention quickly.","[{""owner"":""startup"",""task"":""Start weekly decision log with named owners"",""dueDate"":""2026-06-17"",""completed"":false,""completedAt"":null}]",Friction detected,"The same operating issue resurfaced despite prior discussion.",-10,"[""Decision backlog"",""Commercial owner ambiguity""]",true,2026-06-13T05:45:00.000Z
meeting-supplypilot-1,relationship-supplypilot-colin,cohort-build-with-ai-kl-spring-2026,company-supplypilot,mentor-colin-miles,2026-05-28T03:00:00.000Z,55,1,"Talked through category focus, logistics workflow priorities, and which customer segment the team should narrow around while still small.",mentor,2026-05-28T03:55:00.000Z,"Important early session, but ownership remained vague and prioritisation was not fully resolved.","[{""owner"":""startup"",""task"":""Name one weekly owner for customer ops priorities"",""dueDate"":""2026-06-03"",""completed"":false,""completedAt"":null}]",Neutral,"Good advice, but weak execution commitment.",-11,"[""Weak owner clarity"",""Priority sprawl""]",true,2026-05-28T04:00:00.000Z
meeting-supplypilot-2,relationship-supplypilot-colin,cohort-build-with-ai-kl-spring-2026,company-supplypilot,mentor-colin-miles,2026-06-08T03:00:00.000Z,35,2,"Follow-up became reactive as prior actions were incomplete and the team revisited the same execution issues without a committed owner.",mentor,2026-06-08T03:35:00.000Z,"Critical drift is visible and likely needs coordinator intervention.","[{""owner"":""mentor"",""task"":""Escalate intervention request to programme admin"",""dueDate"":""2026-06-09"",""completed"":true,""completedAt"":""2026-06-09T00:00:00.000Z""}]",Friction detected,"Repeated missed actions and low accountability.",-15,"[""Missed action items"",""Reactive meetings"",""Owner unclear""]",true,2026-06-08T03:45:00.000Z
meeting-carbonpath-1,relationship-carbonpath-riaz,cohort-build-with-ai-kl-spring-2026,company-carbonpath,mentor-riaz-ahmed,2026-06-15T07:00:00.000Z,45,1,"Discussed enterprise climate pilot framing, emissions-reporting narrative, and how to keep the sales story narrow enough for a first wedge.",mentor,2026-06-15T07:45:00.000Z,"Healthy practical session with clear next steps and good founder responsiveness.","[{""owner"":""startup"",""task"":""Draft one enterprise climate pilot memo"",""dueDate"":""2026-06-20"",""completed"":false,""completedAt"":null}]",Positive,"Good chemistry and clear action design.",11,"[]",true,2026-06-15T07:55:00.000Z
meeting-retailforge-1,relationship-retailforge-binh,cohort-build-with-ai-kl-spring-2026,company-retailforge,mentor-binh-tran,2026-05-27T02:00:00.000Z,60,1,"Discussed multi-country go-to-market sequencing, hiring focus, and how to simplify the expansion plan into two near-term bets.",mentor,2026-05-27T02:55:00.000Z,"One of the cohort's strongest first sessions with clear strategic alignment.","[{""owner"":""startup"",""task"":""Rewrite expansion memo into top two markets"",""dueDate"":""2026-06-02"",""completed"":true,""completedAt"":""2026-06-01T00:00:00.000Z""}]",Positive,"High relevance and rapid founder follow-through.",10,"[]",true,2026-05-27T03:05:00.000Z
meeting-retailforge-2,relationship-retailforge-binh,cohort-build-with-ai-kl-spring-2026,company-retailforge,mentor-binh-tran,2026-06-15T02:00:00.000Z,45,2,"Reviewed progress on market sequencing, partner enablement, and account structure. The founders came prepared with sharper decisions and metrics.",mentor,2026-06-15T02:45:00.000Z,"Very healthy mentor-startup relationship with strong execution discipline.","[{""owner"":""startup"",""task"":""Prepare one board-ready market entry memo"",""dueDate"":""2026-06-20"",""completed"":false,""completedAt"":null}]",Positive,"The team closed prior loops and moved forward decisively.",10,"[]",true,2026-06-15T02:55:00.000Z
meeting-insightlattice-1,relationship-insightlattice-carlo,cohort-build-with-ai-kl-spring-2026,company-insightlattice,mentor-carlo-almendral,2026-06-11T06:00:00.000Z,50,1,"Reviewed enterprise account design, AI positioning, and how to structure expansion conversations without overpromising product breadth.",mentor,2026-06-11T06:50:00.000Z,"Promising session with practical advice, though account-management ownership still needs tightening.","[{""owner"":""startup"",""task"":""Assign one account design owner"",""dueDate"":""2026-06-17"",""completed"":false,""completedAt"":null}]",Neutral,"Direction is clear, but internal ownership is still maturing.",3,"[""Expansion planning needs clearer owner structure.""]",true,2026-06-11T07:00:00.000Z
